Target,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5,Taboo 6,Taboo 7
elefante,beber,otoño,libro,animal,sabroso,grande,feliz
mono,profesor,beber,ver,fruta,grande,luz,circular
serpiente,circular,hablar,calor,otoño,olor,invierno,fuego
mariposa,rojo,circular,fuego,animal,trabajo,familia,beber
abeja,fruta,olor,fuego,música,hablar,invierno,sabroso
tigre,familia,animal,olor,música,feliz,beber,luz
guitarra,feliz,grande,color,sabroso,profesor,luz,fruta
piano,comer,beber,calor,color,familia,libro,circular
música,calor,comer,luz,viaje,animal,ver,familia
canción,olor,trabajo,feliz,agua,fruta,profesor,rojo
baile,profesor,color,caminar,trabajo,grande,calor,hablar
cine,calor,música,trabajo,luz,grande,animal,viaje
teatro,escuchar,feliz,color,rojo,circular,fiesta,beber
escenario,animal,luz,fiesta,otoño,sabroso,rojo,fuego
reloj,fruta,música,tocar,caminar,viaje,luz,olor
tiempo,feliz,beber,ver,color,trabajo,olor,libro
hora,profesor,color,comer,otoño,ver,calor,viaje
minuto,familia,fiesta,olor,profesor,rojo,fruta,feliz
día,familia,fuego,libro,grande,tocar,escuchar,hablar
noche,ver,libro,fuego,circular,hablar,familia,rojo
mañana,fruta,libro,ver,invierno,comer,feliz,sabroso
tarde,luz,olor,sabroso,calor,música,rojo,otoño
semana,profesor,otoño,color,trabajo,circular,escuchar,luz
lunes,olor,grande,tocar,libro,viaje,fuego,comer
martes,ver,sabroso,trabajo,caminar,fuego,calor,feliz
miércoles,caminar,luz,viaje,circular,tocar,escuchar,sabroso
jueves,profesor,beber,caminar,escuchar,otoño,color,luz
viernes,sabroso,tocar,hablar,libro,trabajo,color,escuchar
sábado,sabroso,familia,viaje,fiesta,animal,otoño,beber
domingo,comer,olor,calor,rojo,hablar,escuchar,circular
manzana,agua,invierno,feliz,fiesta,animal,caminar,música
pera,fruta,ver,caminar,circular,invierno,calor,profesor
plátano,luz,grande,familia,circular,fiesta,agua,trabajo
naranja,viaje,olor,trabajo,calor,libro,familia,tocar
limón,beber,agua,color,caminar,libro,tocar,ver
sandía,agua,fuego,beber,familia,viaje,feliz,fruta
melón,animal,viaje,trabajo,fiesta,otoño,música,agua
cereza,tocar,luz,libro,beber,comer,otoño,agua
uva,rojo,animal,calor,grande,olor,ver,invierno
café,circular,calor,rojo,fuego,viaje,color,feliz
té,sabroso,música,animal,familia,libro,otoño,tocar
leche,caminar,hablar,olor,rojo,grande,comer,fruta
chocolate,otoño,rojo,fruta,fiesta,sabroso,beber,tocar
azúcar,escuchar,hablar,familia,sabroso,tocar,agua,calor
sal,ver,rojo,familia,fiesta,luz,olor,tocar
pimienta,animal,beber,calor,libro,sabroso,circular,olor
aceite,calor,libro,rojo,fiesta,fruta,sabroso,fuego
vinagre,rojo,hablar,sabroso,animal,libro,ver,otoño
